"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1500000US371010409034","Block Group 4, Census Tract 409.03, Johnston County, North Carolina","1099","1024","940","46","1","19","1","17","75","68","10","17","9","1","31","0","0","0","0","0","0","0","0","0","0","7","1","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409035","Block Group 5, Census Tract 409.03, Johnston County, North Carolina","1085","1003","770","174","0","22","1","36","82","81","8","7","6","0","56","2","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409041","Block Group 1, Census Tract 409.04, Johnston County, North Carolina","2128","1960","1037","629","41","11","0","242","168","156","23","14","7","0","103","4","0","0","3","0","0","2","0","0","0","11","7","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409042","Block Group 2, Census Tract 409.04, Johnston County, North Carolina","1773","1629","878","468","27","3","1","252","144","131","16","10","0","1","83","12","0","2","0","0","0","6","0","0","1","13","3","3","0","0","1","0","3","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409043","Block Group 3, Census Tract 409.04, Johnston County, North Carolina","938","792","511","87","16","1","0","177","146","122","8","9","3","0","88","2","3","2","0","0","0","6","0","0","1","23","1","2","0","1","2","0","15","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409051","Block Group 1, Census Tract 409.05, Johnston County, North Carolina","1094","973","573","301","22","3","0","74","121","116","9","6","9","0","68","8","0","0","16","0","0","0","0","0","0","5","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409052","Block Group 2, Census Tract 409.05, Johnston County, North Carolina","703","603","328","77","11","1","0","186","100","100","1","7","0","0","89","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409053","Block Group 3, Census Tract 409.05, Johnston County, North Carolina","1253","1114","848","151","4","4","0","107","139","138","22","22","0","0","89","0","0","0","2","0","0","3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409054","Block Group 4, Census Tract 409.05, Johnston County, North Carolina","1126","1050","851","146","9","7","0","37","76","64","5","7","6","0","45","1","0","0","0","0","0","0","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010409055","Block Group 5, Census Tract 409.05, Johnston County, North Carolina","1122","977","711","126","26","9","0","105","145","139","17","18","8","0","89","6","0","0","1","0","0","0","0","0","0","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
