GEO_ID,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,MORE THAN 1 RACE
7000000US370130WASH2,1672,687,840,5,17,0,55,204
7000000US370130WASH4,2544,1689,605,11,18,1,130,270
7000000US370130WASHP,1220,916,174,6,2,0,82,120
7000000US370150000C1,952,476,448,3,0,1,6,54
7000000US370150000C2,1424,414,962,4,0,0,19,75
7000000US370150000IW,340,28,293,3,0,0,6,30
7000000US370150000M1,748,338,385,2,1,0,6,48
7000000US370150000M2,860,320,486,2,2,0,12,114
7000000US370150000MH,751,356,377,1,3,0,0,42
7000000US370150000RX,1081,270,765,3,0,2,14,81
7000000US370150000SN,852,163,653,0,3,1,16,48
7000000US370150000W1,5279,1606,3363,38,39,2,75,468
7000000US370150000W2,707,664,10,5,2,0,8,54
7000000US370150000WD,807,116,663,1,0,0,10,51
7000000US370150000WH,1095,671,395,1,3,0,8,51
7000000US37017000P10,742,469,217,13,2,0,10,93
7000000US37017000P15,2894,1909,568,47,8,1,246,345
7000000US37017000P25,1099,596,430,20,0,0,28,75
7000000US37017000P30,1300,256,747,217,0,3,24,159
7000000US37017000P35,763,327,300,15,0,0,92,87
7000000US37017000P40,1604,1177,293,24,3,1,75,93
7000000US37017000P45,594,398,104,12,0,1,36,129
7000000US37017000P55,650,332,236,14,4,0,34,90
7000000US37017000P60,1598,738,591,47,2,0,153,201
7000000US37017000P65,630,447,113,10,0,0,47,39
7000000US37017000P70,454,263,126,10,0,1,23,93
7000000US37017000P75,1208,398,710,54,6,0,18,66
7000000US37017000P80,1205,697,341,23,0,2,94,144
7000000US3701700P201,1408,1157,174,20,7,0,13,111
7000000US3701700P202,2631,1832,573,46,5,0,88,261
7000000US3701700P501,2706,1315,1214,23,8,0,81,195
7000000US3701700P502,1940,901,908,23,3,0,54,153
7000000US37019000001,2112,1331,542,34,4,4,75,366
7000000US37019000002,8583,6238,1329,85,53,7,373,1494
7000000US37019000003,2009,1170,548,10,30,0,142,327
7000000US37019000005,4713,3701,545,58,13,1,126,807
7000000US37019000006,1890,1336,451,14,0,0,17,216
7000000US37019000007,3563,3164,187,18,23,0,46,375
7000000US37019000008,5575,4977,268,24,58,3,43,606
7000000US37019000009,1128,1064,11,2,10,0,2,117
7000000US37019000011,3024,1912,824,39,10,0,59,540
7000000US37019000012,3346,2996,173,21,7,2,30,351
7000000US37019000013,4555,3568,512,53,12,4,184,666
7000000US37019000014,4640,4164,153,33,29,1,66,582
7000000US37019000015,7184,6373,240,53,42,1,219,768
7000000US37019000016,5298,4977,77,17,32,5,70,360
7000000US37019000017,6534,5409,806,32,31,1,69,558
7000000US37019000018,2282,1875,142,13,3,3,160,258
7000000US37019000019,5488,5009,123,25,46,3,65,651
7000000US37019000020,4353,3949,79,34,13,1,85,576
7000000US37019000021,5140,4569,162,31,24,1,72,843
7000000US37019000022,3042,2832,26,10,12,2,25,405
7000000US37019000023,3153,2979,26,16,11,2,9,330
7000000US3701900004A,11517,9660,999,36,139,16,141,1578
7000000US3701900010A,4365,3800,288,14,28,1,43,573
7000000US3701900010B,5811,5578,24,7,40,0,17,435
7000000US370190004B2,7301,5971,713,38,95,2,159,969
7000000US370210001.1,2752,2090,471,11,29,1,40,330
7000000US370210002.1,3339,2417,627,11,33,19,49,549
7000000US370210003.1,2409,2066,144,16,22,0,28,399
7000000US370210004.1,1402,1250,52,0,18,4,11,201
7000000US370210005.1,2504,2306,28,2,23,0,41,312
7000000US370210006.1,1499,1265,86,7,17,0,51,219
7000000US370210007.1,1875,1563,142,10,19,4,30,321
7000000US370210008.2,3451,2033,621,36,65,3,398,885
7000000US370210008.3,3164,2211,591,15,41,1,114,573
7000000US370210009.1,4654,3601,522,15,67,4,119,978
7000000US370210010.1,1643,822,689,5,11,12,32,216
7000000US370210011.1,1785,1250,412,8,24,2,22,201
7000000US370210012.1,2337,1999,91,3,26,3,31,552
7000000US370210013.1,2650,2046,324,7,25,6,80,486
7000000US370210014.2,2644,1919,345,15,37,15,137,528
7000000US370210014.3,1841,1428,172,8,29,6,54,432
7000000US370210015.1,2146,1904,54,3,15,0,29,423
7000000US370210016.2,3174,2503,232,17,39,25,159,597
7000000US370210017.1,1622,1416,78,1,21,0,26,240
7000000US370210018.2,5601,4746,195,17,200,3,140,900
7000000US370210019.1,2209,1707,202,3,63,2,96,408
7000000US370210020.1,1069,870,99,5,13,8,26,144
7000000US370210021.1,3061,2406,402,3,56,2,36,468
7000000US370210022.2,2273,2117,22,2,12,2,14,312
7000000US370210023.2,574,497,20,5,12,1,10,87
7000000US370210023.3,805,745,8,0,6,0,8,114
7000000US370210024.1,2810,2282,147,24,56,3,141,471
7000000US370210025.1,2737,2269,192,5,37,1,75,474
7000000US370210026.1,2240,1834,105,7,30,0,110,462
7000000US370210027.2,830,785,6,1,8,0,4,78
7000000US370210028.1,3257,2685,189,18,92,9,147,351
7000000US370210029.2,3465,2900,238,9,59,19,70,510
7000000US370210030.2,3442,2850,134,9,97,7,120,675
7000000US370210030.3,3365,2843,99,8,141,2,81,573
7000000US370210031.1,1150,1080,3,0,14,0,6,141
7000000US370210032.1,2811,2387,119,27,11,2,125,420
7000000US370210033.2,1402,1270,53,6,18,0,9,138
7000000US370210033.3,2201,1897,95,9,10,0,53,411
7000000US370210034.1,1173,1055,18,2,18,0,14,198
7000000US370210035.1,2119,1832,133,12,11,1,33,291
7000000US370210036.1,2634,2313,133,12,9,1,80,258
7000000US370210037.1,1637,1519,9,1,8,2,16,246
7000000US370210038.2,1872,1748,25,1,6,1,8,249
7000000US370210038.3,3509,3078,112,19,41,0,60,597
7000000US370210039.2,1691,1546,20,2,12,5,28,234
7000000US370210039.3,2737,2551,30,15,7,0,21,339
7000000US370210040.2,4154,3822,36,7,19,0,96,522
7000000US370210041.1,3929,3291,25,35,21,0,277,840
7000000US370210042.1,3137,2169,147,34,12,1,556,654
7000000US370210043.2,2232,1589,163,10,14,54,188,642
7000000US370210044.1,6208,5458,152,33,90,3,160,936
7000000US370210045.1,4792,4022,163,16,30,18,205,1014
7000000US370210046.1,1679,1441,39,16,33,0,59,273
7000000US370210047.1,4911,4385,28,27,32,8,159,816
7000000US370210048.1,4780,3863,114,24,41,9,379,1050
