"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"7000000US370210016.2","WEST ASHEVILLE LIBRARY, Buncombe County, North Carolina","3174","266","2908","2778","2456","230","5","39","25","23","130","128","9","69","19","1","25","4","0","0","1","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210017.1","BETH ISRAEL SYNAGOGUE, Buncombe County, North Carolina","1622","57","1565","1509","1403","78","0","21","0","7","56","51","13","7","12","0","17","0","0","0","1","0","0","0","0","1","0","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210018.2","TC ROBERSON HIGH SCHOOL, Buncombe County, North Carolina","5601","299","5302","5112","4687","189","11","197","3","25","190","184","30","68","27","3","52","1","0","0","0","3","0","0","0","0","0","6","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210019.1","SKYLAND FIRE DEPARTMENT, Buncombe County, North Carolina","2209","175","2034","1963","1684","200","3","63","2","11","71","68","15","28","12","2","11","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210020.1","ASHEVILLE APOSTOLIC CHURCH (0020.1), Buncombe County, North Carolina","1069","49","1020","985","859","96","4","13","8","5","35","34","8","10","3","0","10","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210021.1","HAW CREEK ELEMENTARY SCHOOL, Buncombe County, North Carolina","3061","99","2962","2844","2365","400","3","56","2","18","118","116","20","49","12","4","26","4","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210022.2","IRA B JONES SCHOOL AUDITORIUM, Buncombe County, North Carolina","2273","64","2209","2146","2107","20","2","12","2","3","63","62","7","21","1","2","28","0","0","0","3","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210023.2","ASHEVILLE APOSTOLIC CHURCH (0023.2), Buncombe County, North Carolina","574","17","557","534","493","19","5","12","1","4","23","22","3","13","2","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210023.3","EVERGREEN CHARTER SCHOOL, Buncombe County, North Carolina","805","23","782","760","740","8","0","6","0","6","22","22","5","11","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210024.1","CROSSROADS ASSEMBLY, Buncombe County, North Carolina","2810","253","2557","2473","2248","145","10","55","1","14","84","78","9","52","4","0","12","0","0","0","0","0","0","0","1","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
